0.500746, 0.128211, -0.009442, 2.000242
1.500582, 0.110646, -0.018415, 2.000089
2.499962, 0.136562, 0.074506, 2.000089
3.491608, 0.263128, 0.155531, 2.000089
4.435481, 0.562115, 0.628643, 2.011944
5.079481, 1.315167, 1.096633, 2.003531
5.379735, 2.264699, 1.419354, 2.003531
5.454955, 3.261027, 1.557421, 2.000089
5.477504, 4.260766, 1.540449, 2.000089
5.518909, 5.259869, 1.506635, 2.000089
5.578434, 6.257980, 1.551440, 2.003531
5.422324, 7.237971, 1.983801, 2.017996
4.759892, 7.969112, 2.548320, 2.001186
3.865277, 8.408175, 2.832832, 2.001186
2.885869, 8.601556, 3.034412, 2.001186
1.887778, 8.658601, 3.105337, 2.000242
0.888817, 8.703891, 3.086877, 2.000242
-0.109254, 8.765806, 3.083095, 2.001186
-1.108079, 8.752821, -3.027792, 2.001186
-2.032613, 8.412359, -2.411155, 2.043398
-2.310131, 7.492815, -1.456890, 2.000242
-1.960041, 6.582816, -0.767715, 2.017996
-1.052125, 6.216172, -0.079218, 2.003531
-0.052729, 6.189723, -0.025449, 2.001644
0.938945, 6.074056, -0.224976, 2.001644
1.884157, 5.752727, -0.424676, 2.001644
2.724254, 5.227849, -0.915570, 2.043398
2.863108, 4.268427, -1.751609, 2.001186
2.539319, 3.327108, -2.080300, 2.017996
1.778011, 2.707267, -2.751931, 2.007119
0.804376, 2.501459, -3.095446, 2.001186
-0.193956, 2.541747, 3.048539, 2.000242
-1.190802, 2.619917, 3.101138, 2.000242
-2.182551, 2.534570, -2.839006, 2.043398
-2.770205, 1.801380, -1.605624, 2.043398
-2.347554, 0.928680, -0.757519, 2.003531
